timestamp,open,high,low,close,open,high,low,close,volume,market cap
2019-07-09,81823.56000000,86525.83499611,81823.56000000,86525.83499611,11889.84860340,12559.63422566,11889.84860340,12559.63422566,67.20764058,844103.38285421
2019-07-08,79066.92000000,81799.47000000,79054.19000000,81799.47000000,11469.52885502,11886.34806575,11467.93204342,11886.34806575,84.17567753,1000541.40179173
2019-07-07,80118.60000000,80453.91000000,79002.80000000,79059.06000000,11622.33981796,11670.98129153,11460.47719469,11468.38867532,38.92994266,446463.71353291
2019-07-06,79053.01000000,80110.31000000,78964.83000000,80109.36000000,11467.51105609,11621.13723582,11454.96910739,11620.99942484,42.53314515,494277.65532494
2019-07-05,78131.37935026,82109.75000000,77995.76304797,79053.08000000,11370.18696302,11949.31942758,11350.45119585,11467.52121036,60.44837347,693193.00489918
2019-07-04,81458.58540605,81548.04203509,78288.20751955,78288.20751955,11838.01779109,11851.01812937,11393.00961918,11393.00961918,241.26843931,2748773.64986331
2019-07-03,73752.52787650,81554.30008844,73575.03278781,81443.61498100,10730.76195413,11851.75552061,10704.93697430,11835.84220509,249.61857989,2954446.12303565
2019-07-02,73617.76518310,74127.65528578,68776.69134078,73587.91463184,10744.29565490,10785.34181800,10002.06354341,10706.66481038,296.47377914,3174245.37831908
2019-07-01,76877.62710725,77648.21370771,71336.92121556,73580.97956554,11195.55353226,11356.17677533,10411.56516008,10738.92690253,281.50555423,3023067.56953230
2019-06-30,82674.15686728,83629.86411675,76981.04302912,76981.04302912,12039.69195941,12178.86992412,11210.61381095,11210.61381095,226.08534294,2534555.46801582
2019-06-29,84914.20896371,84914.20896371,80387.05851046,82720.56091725,12365.90680376,12365.90680376,11706.62585096,12046.44969954,237.59937626,2862228.93475777
2019-06-28,79001.08771206,84877.04288932,77869.23558681,84827.96943615,11487.55842676,12360.49437376,11329.07048832,12353.34789314,291.46199736,3600531.45101747
2019-06-27,89086.50165996,90620.38020408,76780.02799000,78853.52102005,12948.43080933,13171.37502455,11164.59384405,11466.10073491,348.74211752,3998712.24998923
2019-06-26,80553.60523106,92715.09312370,80396.98769127,89070.48385442,11708.58896872,13475.83467668,11685.94818003,12946.10267384,306.71860943,3970810.60965776
2019-06-25,75745.56522040,80501.47495355,75745.56522040,80501.47495355,11014.17247835,11701.01175364,11014.17247835,11701.01175364,232.48918881,2720358.73085973
2019-06-24,74813.51383777,76049.58031744,73608.64174641,75753.01691150,10890.04435131,11058.53981778,10714.66012139,11015.25602972,240.47758274,2648922.14328819
2019-06-23,73674.22978215,76644.29960191,73336.05822296,74731.00231931,10724.11371372,11156.45998144,10674.88903548,10878.03376593,230.79828068,2510631.49035613
2019-06-22,68810.94519153,74691.52356760,68207.41946523,73674.99535827,10016.20788116,10872.19227888,9928.35791602,10724.22515194,259.31473300,2780949.58190799
2019-06-21,64981.54176001,68493.51550853,64981.54176001,68493.51550853,9483.72591111,9970.00241655,9483.72591111,9970.00241655,223.30579660,2226359.33173264
2019-06-20,63671.61229715,65227.12946861,63299.15815101,64839.14563309,9222.95783993,9519.57080153,9208.45035183,9462.94391976,166.36530091,1574305.51270608
2019-06-19,63055.52580141,63803.64272598,62815.61998175,63704.62102649,9134.11374930,9242.08270634,9098.04353567,9227.73921908,181.40511030,1673959.05085658
2019-06-18,64219.47055063,64371.04065637,62677.51677968,63054.19523311,9272.49844294,9294.11486299,9079.35602016,9133.92100549,175.09889158,1599339.44384097
2019-06-17,62408.67418281,64491.12290716,62408.67418281,64239.79525278,9011.31016699,9311.72168834,9011.31016699,9275.43307892,207.66738613,1926204.94272327
2019-06-16,60749.96687545,63662.30751968,60491.96770596,62445.73387888,8772.05160333,9192.58191358,8734.79755786,9016.66128877,174.77930539,1575925.79698842
2019-06-15,58914.61407618,60942.64481698,58611.29691045,60897.96290214,8507.03401906,8799.87352543,8463.23623666,8793.42163610,155.89186814,1370822.92619472
2019-06-14,56835.88062852,58954.89764460,56605.86299259,58952.41514070,8211.26041338,8512.85080480,8175.82622306,8512.49234119,173.45563724,1476539.78354226
2019-06-13,56087.50249941,57200.94363818,55821.19245083,56777.77713717,8107.51916126,8264.00222729,8065.14636552,8202.86601722,148.99745348,1222206.14780286
2019-06-12,54831.64394524,56236.78753648,54508.23470149,56016.62318428,7933.62236664,8129.28800967,7887.28433081,8097.27346695,213.18787355,1726240.51197085
2019-06-11,55278.57191556,55297.80336052,54185.16353831,54843.04241425,7975.55476572,7978.32946552,7838.49511542,7935.27161774,262.80713573,2085446.00509670
2019-06-10,53321.63593720,55554.62988161,52984.45235641,55267.42255520,7716.75940602,8014.17034803,7668.12612021,7973.94614359,262.47176721,2092935.73594440
2019-06-09,55030.16662204,55131.83687288,52961.57715580,53360.61412367,7964.07521789,7978.78913891,7664.65134633,7722.40036737,212.04070879,1637463.24745641
2019-06-08,55304.57811673,55553.13878455,54378.00497768,55006.53377414,8003.78859546,8039.76078991,7869.69308699,7960.65502512,217.29661502,1729823.39030015
2019-06-07,54032.70871324,55784.27157913,53957.09190523,55361.93050873,7819.60766334,8073.21078788,7808.77770957,8012.08874775,222.88179672,1785748.73557880
2019-06-06,54268.85776418,54594.22585772,52839.35406651,54152.97230958,7854.69267138,7897.55594724,7646.79507815,7837.01219778,264.05689105,2069417.07606644
2019-06-05,54383.52822751,55114.96472347,53569.62204082,54299.44354242,7872.20116133,7973.69139499,7753.93654675,7859.11955446,290.28687135,2281399.22702853
2019-06-04,57978.35566040,57978.35566040,53901.62765443,54293.23535179,8398.03494378,8398.03494378,7802.44441008,7859.13095967,289.40132104,2274442.88195491
2019-06-03,60540.73058251,60540.73058251,57937.08757653,58027.24749708,8767.66540450,8767.66540450,8392.05735427,8405.11681680,201.69024774,1695230.09306497
2019-06-02,59395.82506027,60805.15102899,59364.06294720,60587.12170086,8601.73248698,8805.83176429,8597.13268220,8774.38388641,154.55097065,1356089.54650085
2019-06-01,59091.81254897,59746.49818006,58698.00778630,59441.08989998,8557.70524614,8652.51714001,8500.67424746,8608.28776325,197.50860303,1700210.89059885
2019-05-31,57985.15565452,59164.60472664,57186.47291489,59164.60472664,8401.33236102,8568.24704498,8276.08240083,8568.24704498,259.11666311,2220175.58299608
2019-05-30,59827.32465437,61863.40097992,57556.26517669,58119.51351306,8652.69434090,8963.30713337,8339.25186874,8420.79915407,194.22799515,1635554.93725592
2019-05-29,60274.57177014,60530.23505984,58728.49765961,59826.33122207,8722.65574811,8758.28132904,8496.84549972,8652.55066298,473.14289276,4093892.85043340
2019-05-28,60529.74646433,60585.77811210,59401.78955585,60281.15417304,8774.84299244,8782.82701431,8594.19567274,8723.60832285,797.08787397,6953482.41140472
2019-05-27,59231.11010397,61018.02980681,59231.11010397,60619.20529797,8583.84591864,8845.50004226,8583.84591864,8787.81161143,834.52189003,7333621.15519418
2019-05-26,55551.46253804,59374.97012367,54513.50077788,59150.71831213,8050.70349101,8604.69429107,7900.39308966,8572.19544049,603.96327792,5177291.25720916
2019-05-25,55029.72794450,55790.03093104,54878.64953418,55403.30826805,7975.00061958,8085.27761934,7953.10608255,8029.23247938,756.88919256,6077239.28819102
